id,symbol,type,entry,exit_price,pnl,pips,volume,time,exit_time,duration_minutes,strategy,result,comment
4204022970,Crash 500 Index,BUY,3213.183,3207.493,-1.1400000000000001,-56900.000000000546,0.2,2025-04-21 11:43:31,2025-04-21 11:47:41,4,,LOSS,BullishreversalH
4204023014,Boom 300 Index,BUY,1860.813,1857.457,-3.36,-33559.99999999994,1.0,2025-04-21 11:43:34,2025-04-21 12:01:58,18,,LOSS,Bullishbreakouta
4204029912,Crash 500 Index,BUY,3208.659,3205.825,-0.57,-28340.000000002874,0.2,2025-04-21 11:49:49,2025-04-21 12:00:39,10,,LOSS,BullishreversalH
4204042027,Volatility 50 Index,BUY,163.7658,164.0239,1.03,2580.9999999998468,4.0,2025-04-21 12:02:24,2025-04-21 12:10:30,8,,WIN,Bullishbreakouta
4204042073,Volatility 75 Index,BUY,131752.03,131264.35,-24.38,-4876799.99999993,0.05,2025-04-21 12:02:28,2025-04-21 12:05:52,3,,LOSS,BullishreversalH
4204042171,Boom 300 Index,SELL,1856.738,1807.147,49.59,495910.0000000012,1.0,2025-04-21 12:02:36,2025-04-21 14:12:37,130,,WIN,Bearishbreakdown
4204050629,Volatility 50 Index,BUY,164.078,164.1482,0.28,701.9999999999982,4.0,2025-04-21 12:11:06,2025-04-21 12:13:46,2,,WIN,Bullishbreakouta
4204059735,Volatility 50 Index,BUY,164.4345,164.2479,-0.75,-1866.0000000002697,4.0,2025-04-21 12:17:18,2025-04-21 12:17:52,0,,LOSS,Bullishbreakouta
4204068844,Volatility 50 Index,BUY,164.2341,164.1167,-0.47,-1174.000000000035,4.0,2025-04-21 12:23:28,2025-04-21 12:26:12,2,,LOSS,Bullishbreakouta
4204075963,Volatility 50 Index,BUY,164.2109,164.1046,-0.43,-1063.000000000045,4.0,2025-04-21 12:29:46,2025-04-21 12:31:00,1,,LOSS,Bullishbreakouta
4204155335,Volatility 50 Index,BUY,163.1509,163.2162,0.26,652.9999999997926,4.0,2025-04-21 13:31:22,2025-04-21 13:33:14,1,,WIN,Bullishbreakouta
4204164250,Volatility 50 Index,BUY,163.2406,163.2655,0.1,249.00000000002365,4.0,2025-04-21 13:37:38,2025-04-21 13:39:50,2,,WIN,Bullishbreakouta
4204172262,Volatility 50 Index,BUY,163.2118,163.3341,0.49,1222.9999999999563,4.0,2025-04-21 13:43:58,2025-04-21 13:46:32,2,,WIN,Bullishbreakouta
