symbol,direction,entry_price,size,entry_time,stop_loss,take_profit,exit_price,exit_time,exit_reason,pnl,signal_time,month,day
Volatility 10 Index,buy,6389.969,1.0,2025-01-03 07:30:00,6378.684625999999,6412.597748,6412.597748,2025-01-03 17:15:00,take_profit,22.628748000000087,2025-01-03 07:15:00,2025-01,2025-01-03
Volatility 10 Index,buy,6389.911,1.0,2025-01-03 07:45:00,6378.684625999999,6412.597748,6412.597748,2025-01-03 17:15:00,take_profit,22.68674800000008,2025-01-03 07:30:00,2025-01,2025-01-03
Volatility 10 Index,sell,6390.638,1.0,2025-01-03 22:45:00,6399.599346,6372.232308,6399.599346,2025-01-03 23:15:00,stop_loss,-8.961346000000049,2025-01-03 22:30:00,2025-01,2025-01-03
Volatility 10 Index,sell,6395.282,1.0,2025-01-03 23:00:00,6399.599346,6372.232308,6399.599346,2025-01-03 23:15:00,stop_loss,-4.317345999999816,2025-01-03 22:45:00,2025-01,2025-01-03
Volatility 10 Index,sell,6397.127,1.0,2025-01-03 22:15:00,6406.997753000001,6377.703493999999,6406.997753000001,2025-01-04 00:45:00,stop_loss,-9.87075300000015,2025-01-03 22:00:00,2025-01,2025-01-04
Volatility 10 Index,sell,6389.613,1.0,2025-01-03 22:30:00,6406.997753000001,6377.703493999999,6406.997753000001,2025-01-04 00:45:00,stop_loss,-17.384753000000273,2025-01-03 22:15:00,2025-01,2025-01-04
Volatility 10 Index,sell,6398.484,1.0,2025-01-03 20:30:00,6413.149,6368.896,6413.149,2025-01-04 02:45:00,stop_loss,-14.664999999999964,2025-01-03 20:15:00,2025-01,2025-01-04
Volatility 10 Index,sell,6394.145,1.0,2025-01-03 20:45:00,6413.149,6368.896,6413.149,2025-01-04 02:45:00,stop_loss,-19.003999999999905,2025-01-03 20:30:00,2025-01,2025-01-04
Volatility 10 Index,sell,6398.593,1.0,2025-01-03 21:00:00,6413.149,6368.896,6413.149,2025-01-04 02:45:00,stop_loss,-14.556000000000495,2025-01-03 20:45:00,2025-01,2025-01-04
Volatility 10 Index,sell,6400.41,1.0,2025-01-03 22:00:00,6411.368753000001,6378.2074939999975,6411.368753000001,2025-01-04 02:45:00,stop_loss,-10.958753000000797,2025-01-03 21:45:00,2025-01,2025-01-04
Volatility 10 Index,buy,6421.485,1.0,2025-01-04 11:00:00,6412.279984,6439.436032000001,6412.279984,2025-01-04 11:30:00,stop_loss,-9.205015999999887,2025-01-04 10:45:00,2025-01,2025-01-04
Volatility 10 Index,buy,6417.281,1.0,2025-01-04 11:15:00,6412.279984,6439.436032000001,6412.279984,2025-01-04 11:30:00,stop_loss,-5.001016000000163,2025-01-04 11:00:00,2025-01,2025-01-04
Volatility 10 Index,buy,6422.617,1.0,2025-01-04 05:00:00,6408.542984,6450.321032000001,6408.542984,2025-01-04 13:15:00,stop_loss,-14.074016000000483,2025-01-04 04:45:00,2025-01,2025-01-04
Volatility 10 Index,buy,6424.44,1.0,2025-01-04 05:15:00,6408.542984,6450.321032000001,6408.542984,2025-01-04 13:15:00,stop_loss,-15.897015999999894,2025-01-04 05:00:00,2025-01,2025-01-04
Volatility 10 Index,sell,6430.361,1.0,2025-01-04 09:00:00,6441.162187,6408.491626,6408.491626,2025-01-04 13:15:00,take_profit,21.86937399999988,2025-01-04 08:45:00,2025-01,2025-01-04
Volatility 10 Index,sell,6430.337,1.0,2025-01-04 09:15:00,6441.162187,6408.491626,6408.491626,2025-01-04 13:15:00,take_profit,21.845374000000447,2025-01-04 09:00:00,2025-01,2025-01-04
Volatility 10 Index,buy,6413.947,1.0,2025-01-04 12:15:00,6404.613984,6432.193032,6404.613984,2025-01-04 13:45:00,stop_loss,-9.333016000000498,2025-01-04 12:00:00,2025-01,2025-01-04
Volatility 10 Index,buy,6414.238,1.0,2025-01-04 12:30:00,6404.613984,6432.193032,6404.613984,2025-01-04 13:45:00,stop_loss,-9.624016000000665,2025-01-04 12:15:00,2025-01,2025-01-04
Volatility 10 Index,buy,6415.503,1.0,2025-01-04 04:00:00,6403.454984,6439.362032,6403.454984,2025-01-04 15:45:00,stop_loss,-12.048015999999734,2025-01-04 03:45:00,2025-01,2025-01-04
Volatility 10 Index,buy,6412.933,1.0,2025-01-04 04:15:00,6403.454984,6439.362032,6403.454984,2025-01-04 15:45:00,stop_loss,-9.478016000000025,2025-01-04 04:00:00,2025-01,2025-01-04
Volatility 10 Index,sell,6424.345,1.0,2025-01-04 10:15:00,6437.458187,6398.235626,6398.235626,2025-01-04 16:00:00,take_profit,26.10937400000057,2025-01-04 10:00:00,2025-01,2025-01-04
